row,group,benchmark,split,classifier,prompt,pool,acc,forgetting,comm_GB,storage_MB
1,accuracy,MedMNIST-balanced,iid,linear,full,unbounded,38.76,38.15,14.11,7.74
2,accuracy,MedMNIST-balanced,iid,prototype,full,unbounded,66.50,13.48,14.11,7.74
3,accuracy,MedMNIST-balanced,label_skew,linear,full,unbounded,29.38,30.75,14.11,7.74
4,accuracy,MedMNIST-balanced,label_skew,prototype,full,unbounded,66.47,13.88,14.11,7.74
5,accuracy,MedMNIST-crossdomain,iid,linear,full,unbounded,32.22,23.58,14.11,7.74
6,accuracy,MedMNIST-crossdomain,iid,prototype,full,unbounded,71.45,1.82,14.11,7.74
7,accuracy,MedMNIST-crossdomain,label_skew,linear,full,unbounded,24.89,31.95,14.11,7.74
8,accuracy,MedMNIST-crossdomain,label_skew,prototype,full,unbounded,70.88,1.67,14.11,7.74
9,capsweep_bal,MedMNIST-balanced,iid,prototype,full,4,66.23,13.06,12.56,5.16
10,capsweep_bal,MedMNIST-balanced,iid,prototype,full,3,64.80,17.91,11.01,3.87
11,capsweep_bal,MedMNIST-balanced,iid,prototype,full,2,64.58,17.29,8.95,2.58
12,capsweep_bal,MedMNIST-balanced,iid,prototype,full,1,64.52,13.52,6.37,1.29
13,capsweep_cross,MedMNIST-crossdomain,iid,prototype,full,2,64.54,6.67,8.95,2.58
14,capsweep_cross,MedMNIST-crossdomain,iid,prototype,full,3,65.21,9.17,11.01,3.87
15,rep,MedMNIST-balanced,iid,prototype,rep,unbounded,64.23,14.89,3.83,2.03
16,rep,MedMNIST-balanced,iid,prototype,rep,3,65.48,13.80,3.02,1.01
17,rep,MedMNIST-balanced,iid,prototype,rep,2,65.44,13.93,2.48,0.68
18,rep,MedMNIST-balanced,iid,prototype,rep,1,65.35,13.52,1.80,0.34
19,rep,MedMNIST-balanced,iid,linear,rep,unbounded,39.91,26.99,3.83,2.03
20,rep,MedMNIST-balanced,label_skew,prototype,rep,unbounded,63.60,14.27,3.83,2.03
